DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P220;P5785;P5501;P2057;P2059;P2061;P1402;P1403;P1365;P1364;P1363
647770;237;1;1;1;725.74035941;2;49;1;2;2;2;4;1;2;;
647770;237;2;1;2;725.74035941;1;12;3;;;;;;;;
647771;237;1;1;1;550.58107349;1;23;1;1;;2;2;2;3;;
647773;237;1;1;1;980.42582208;1;62;1;1;;2;4;3;1;3;1
647773;237;2;1;2;980.42582208;1;40;8;1;;2;4;3;1;3;3
647773;237;3;1;3;980.42582208;1;39;10;1;;1;4;3;1;3;1
647775;237;1;1;1;71.098645671;1;59;1;2;2;2;2;2;1;8;1
647775;237;2;1;2;71.098645671;2;37;2;2;2;2;4;2;1;6;1
647775;237;3;1;3;71.098645671;1;18;3;2;2;2;4;2;1;3;1
647775;237;4;1;4;71.098645671;2;17;3;2;2;2;4;2;3;;
647776;237;1;1;1;92.766326636;1;53;1;1;;2;4;1;1;6;1
647776;237;2;1;2;92.766326636;2;65;2;2;1;2;4;1;1;2;1
647777;237;1;1;1;89.936091438;1;79;1;1;;1;4;4;7;;
647777;237;2;1;2;89.936091438;2;74;2;1;;1;4;4;4;;
647777;237;3;1;3;89.936091438;1;27;3;2;2;2;3;2;1;6;1
647778;237;1;1;1;71.11186447;1;43;1;1;;2;3;2;1;4;3
647778;237;2;1;2;71.11186447;2;31;2;1;;2;3;3;4;;
647778;237;3;1;3;71.11186447;1;14;3;;;;;;;;
647778;237;4;1;4;71.11186447;2;12;3;;;;;;;;
647778;237;5;1;5;71.11186447;2;6;3;;;;;;;;
647778;237;6;1;6;71.11186447;2;0;3;;;;;;;;
647779;237;1;1;1;75.868636044;2;76;1;1;;2;4;4;6;;
647780;237;1;1;1;70.272466924;2;49;1;2;2;2;4;1;2;;
647782;237;1;1;1;104.62935991;2;43;1;1;;2;2;2;1;2;1
647782;237;2;1;2;104.62935991;1;40;2;1;;2;2;2;1;6;1
647782;237;3;1;3;104.62935991;1;16;3;2;2;2;2;2;3;;
647782;237;4;1;4;104.62935991;2;14;3;;;;;;;;
647782;237;5;1;5;104.62935991;2;7;3;;;;;;;;
647783;237;1;1;1;120.43283288;1;33;1;2;2;2;4;3;1;3;3
647784;237;1;1;1;95.090464541;1;38;1;2;2;2;4;2;1;3;1
647784;237;2;1;2;95.090464541;2;36;2;2;2;2;4;4;1;5;1
647784;237;3;1;3;95.090464541;2;8;3;;;;;;;;
647784;237;4;1;4;95.090464541;2;14;3;;;;;;;;
647785;237;1;1;1;89.225097405;1;55;1;2;2;2;4;4;1;6;1
647785;237;2;1;2;89.225097405;2;46;2;2;2;2;4;4;4;;
647785;237;3;1;3;89.225097405;2;29;3;2;2;2;4;4;1;6;1
647785;237;4;1;4;89.225097405;1;27;3;2;2;2;4;4;1;3;1
647785;237;5;1;5;89.225097405;1;1;3;;;;;;;;
647785;237;6;1;6;89.225097405;2;7;5;;;;;;;;
647785;237;7;1;7;89.225097405;1;4;5;;;;;;;;
647785;237;8;1;8;89.225097405;1;2;5;;;;;;;;
647787;237;1;1;1;108.9626969;1;44;1;1;;2;4;3;6;;
647787;237;2;1;2;108.9626969;2;38;2;1;;2;4;3;4;;
647788;237;1;1;1;91.298001057;1;55;1;2;2;2;4;4;1;5;1
647788;237;2;1;2;91.298001057;2;82;6;1;;2;4;4;4;;
647789;237;1;1;1;82.050272801;1;57;1;1;;2;4;4;1;6;1
647789;237;2;1;2;82.050272801;2;47;2;1;;2;4;4;1;2;1
647789;237;3;1;3;82.050272801;2;27;3;2;2;2;4;4;4;;
647789;237;4;1;4;82.050272801;2;19;3;2;2;2;4;4;4;;
647789;237;5;1;5;82.050272801;1;28;4;2;2;2;3;2;2;;
647789;237;6;1;6;82.050272801;2;1;5;;;;;;;;
647790;237;1;1;1;81.04232729;2;38;1;2;1;2;4;2;1;2;3
647790;237;2;1;2;81.04232729;1;10;3;;;;;;;;
647790;237;3;1;3;81.04232729;1;9;3;;;;;;;;
647790;237;4;1;4;81.04232729;1;4;3;;;;;;;;
647791;237;1;1;1;71.845078567;2;69;1;1;;2;4;4;4;;
647791;237;2;1;2;71.845078567;1;71;2;1;;2;4;4;1;6;1
647791;237;3;1;3;71.845078567;2;28;3;2;2;2;4;4;1;6;1
647792;237;1;1;1;63.774767432;2;45;1;2;2;1;4;4;1;6;1
647792;237;2;1;2;63.774767432;1;14;3;;;;;;;;
647794;237;1;1;1;63.609788932;1;32;1;2;2;2;3;1;1;3;3
647794;237;2;1;2;63.609788932;2;27;2;2;2;2;3;1;1;6;1
647794;237;3;1;3;63.609788932;1;9;3;;;;;;;;
647794;237;4;1;4;63.609788932;1;3;3;;;;;;;;
647796;237;1;1;1;1321.2299779;2;35;1;2;2;2;4;4;2;;
647796;237;2;1;2;1321.2299779;2;18;3;2;2;2;4;4;1;5;1
647796;237;3;1;3;1321.2299779;1;13;3;;;;;;;;
647797;237;1;1;1;1492.3913535;1;33;1;2;2;2;4;4;1;6;1
647797;237;2;1;2;1492.3913535;2;28;2;2;2;2;4;4;1;6;1
647797;237;3;1;3;1492.3913535;2;16;3;2;2;2;4;4;3;;
647797;237;4;1;4;1492.3913535;1;11;3;;;;;;;;
647797;237;5;1;5;1492.3913535;2;2;3;;;;;;;;
647798;237;1;1;1;1793.3259594;2;49;1;1;;2;2;2;8;;
647798;237;2;1;2;1793.3259594;1;73;6;2;2;2;4;2;1;8;1
647798;237;3;1;3;1793.3259594;2;27;3;2;2;2;2;2;1;6;1
647798;237;4;1;4;1793.3259594;1;23;3;2;2;2;2;2;1;2;1
647798;237;5;1;5;1793.3259594;1;37;4;2;2;2;4;2;1;8;1
647798;237;6;1;6;1793.3259594;2;12;5;;;;;;;;
647798;237;7;1;7;1793.3259594;1;8;5;;;;;;;;
647798;237;8;1;8;1793.3259594;1;2;7;;;;;;;;
647799;237;1;1;1;958.30451388;2;53;1;1;;1;4;4;1;5;2
647800;237;1;1;1;1011.2569287;1;40;1;2;2;2;4;4;1;6;1
647802;237;1;1;1;767.31464773;1;47;1;2;2;2;3;2;1;6;1
647802;237;2;1;2;767.31464773;2;40;2;2;2;2;4;2;1;2;1
647803;237;1;1;1;1424.7873533;2;45;1;2;2;2;4;4;1;6;1
647803;237;2;1;2;1424.7873533;1;52;10;2;2;2;4;4;1;6;1
647803;237;3;1;3;1424.7873533;1;23;3;2;2;2;4;4;1;6;1
647803;237;4;1;4;1424.7873533;1;21;3;2;2;2;4;1;1;6;1
647803;237;5;1;5;1424.7873533;2;8;3;;;;;;;;
647804;237;1;1;1;767.31464773;1;39;1;2;2;2;4;2;2;;
647804;237;2;1;2;767.31464773;2;49;2;2;2;2;3;2;4;;
647805;237;1;1;1;1011.2569287;1;49;1;2;2;2;3;3;2;;
647806;237;1;1;1;1682.6069974;2;29;1;2;2;2;2;2;1;6;1
647806;237;2;1;2;1682.6069974;2;10;3;;;;;;;;
647806;237;3;1;3;1682.6069974;2;3;3;;;;;;;;
647807;237;1;1;1;616.14503679;1;47;1;2;2;2;4;3;1;6;3
647807;237;2;1;2;616.14503679;2;47;2;2;2;2;4;3;1;6;3
647807;237;3;1;3;616.14503679;1;24;3;2;2;2;4;3;3;;
647808;237;1;1;1;840.22829366;2;80;1;2;2;2;4;4;6;;
647809;237;3;1;3;948.35117977;1;94;6;2;9;9;4;4;5;;
647809;237;4;1;4;948.35117977;2;5;3;;;;;;;;
647809;237;5;1;5;948.35117977;2;3;3;;;;;;;;
647809;237;1;1;1;948.35117977;1;50;1;2;2;2;4;4;1;6;3
647809;237;2;1;2;948.35117977;2;42;2;2;2;2;4;4;4;;
647810;237;1;1;1;800.70253995;1;36;1;2;2;2;2;1;1;6;3
647810;237;2;1;2;800.70253995;2;25;2;2;2;2;3;1;4;;
647810;237;3;1;3;800.70253995;1;2;3;;;;;;;;
647811;237;1;1;1;784.12349281;2;60;1;2;2;2;4;4;4;;
647811;237;2;1;2;784.12349281;1;56;2;2;2;2;4;4;1;4;1
647812;237;1;1;1;800.63020604;2;73;1;2;1;2;4;4;4;;
647812;237;2;1;2;800.63020604;2;20;5;2;2;2;2;2;1;6;1
647813;237;1;1;1;784.12349281;2;65;1;2;2;2;4;3;4;;
647813;237;2;1;2;784.12349281;1;74;2;2;2;2;4;3;5;;
647816;237;1;1;1;869.4305499;1;20;1;2;2;2;1;1;1;6;1
647816;237;2;1;2;869.4305499;2;18;2;2;2;2;1;1;1;6;1
647817;237;1;1;1;516.71020049;2;54;1;1;;2;4;3;1;6;1
647817;237;2;1;2;516.71020049;1;54;2;1;;1;3;3;1;3;1
647818;237;1;1;1;801.17985241;1;76;1;1;;2;4;4;2;;
647818;237;2;1;2;801.17985241;2;69;2;1;;1;4;4;4;;
647818;237;3;1;3;801.17985241;1;30;3;1;;1;4;4;2;;
647820;237;4;1;4;947.41765265;2;59;3;2;2;2;4;3;8;;
647820;237;1;1;1;947.41765265;2;78;1;2;2;2;4;3;4;;
647820;237;2;1;2;947.41765265;2;21;5;2;2;2;4;3;2;;
647820;237;3;1;3;947.41765265;1;91;2;2;2;2;4;3;5;;
647821;237;1;1;1;920.93100045;1;77;1;2;2;2;4;4;6;;
647823;237;1;1;1;826.17015238;2;77;1;2;2;1;4;4;7;;
647823;237;2;1;2;826.17015238;2;41;8;2;2;2;1;1;1;1;3
647824;237;1;1;1;674.17128578;1;41;1;2;2;2;4;4;1;1;1
647826;237;1;1;1;638.86967592;2;41;1;2;2;2;4;4;1;6;3
647827;237;2;1;2;720.73850504;1;67;3;2;2;1;4;4;4;;
647827;237;3;1;3;720.73850504;2;72;4;2;2;1;4;4;4;;
647827;237;1;1;1;720.73850504;1;101;1;2;1;1;4;4;5;;
647828;237;1;1;1;745.95411037;1;60;1;2;2;2;4;4;8;;
647829;237;1;1;1;899.93835114;1;24;1;2;2;2;4;1;1;6;1
